OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length
376,Les Paccots,1619,1619,FR,10,2325,0,50,0,973,5138.74615,0,34073256.09375,32839.7325365964
377,Semsales,1623,1623,FR,10,2336,0,75,0,1408,5326.70455,0,53822476.5493164,44594.881531463
378,La Verrerie,1624,1624,FR,10,2338,0,0,0,699,0,0,12794591.5664063,20650.5332821348
379,Sâles (Gruyère),1625,1625,FR,10,2152,0,0,0,1028,0,0,26235838.7143555,29399.3601061533
380,Treyfayes,1626,1626,FR,10,2152,0,0,0,477,0,0,12538636.6064453,22627.0332249451
381,Vaulruz,1627,1627,FR,10,2155,0,0,0,1068,0,0,19419709.2631836,27217.8267653616
382,Vuadens,1628,1628,FR,10,2160,1,89,0.0112359550561798,2449,3634.13638,40.83299,23830660.5356445,28033.2927476854
383,Bulle,1630,1630,FR,10,2125,4,483,0.0082815734989648,18201,2653.70035,21.97681,37763885.2861328,50431.2888940172
384,Riaz,1632,1632,FR,10,2148,2,105,0.019047619047619,2700,3888.88889,74.07407,15706880.668457,22685.5851591258
385,Vuippens,1633,1633,FR,10,2140,1,89,0.0112359550561798,1925,4623.37662,51.94805,17617239.4609375,29938.9784559216
386,La Roche FR,1634,1634,FR,10,2149,0,0,0,1748,0,0,51456651.1210938,31017.6964935167
387,La Tour-de-Trême,1635,1635,FR,10,2125,2,141,0.0141843971631206,5283,2668.9381,37.85728,41928804.6152344,52641.242597395
388,Broc,1636,1636,FR,10,2124,0,67,0,2640,2537.87879,0,26104462.9033203,22394.4321214723
389,Charmey (Gruyère),1637,1637,FR,10,2163,0,0,0,2124,0,0,149764165.415527,75675.3533987755
390,Morlon,1638,1638,FR,10,2143,0,0,0,574,0,0,9034500.80761719,13098.5291983101
391,Sorens,1642,1642,FR,10,2153,0,0,0,1145,0,0,18349279.7978516,20370.8803561956
392,Gumefens,1643,1643,FR,10,2122,0,0,0,883,0,0,7863267.69042969,15645.6653875904
393,Avry-devant-Pont,1644,1644,FR,10,2122,0,0,0,662,0,0,9197616.49267578,18561.0206310276
394,Le Bry,1645,1645,FR,10,2122,0,0,0,346,0,0,8594416.01074219,17568.0225596211
395,Echarlens,1646,1646,FR,10,2131,0,0,0,853,0,0,10298540.7548828,16145.0059892703
396,Corbières,1647,1647,FR,10,2129,0,0,0,599,0,0,10233469.4047852,17450.0956116402
397,Hauteville,1648,1648,FR,10,2137,0,0,0,695,0,0,24582973.0854492,25589.6918699429
398,Pont-la-Ville,1649,1649,FR,10,2147,0,0,0,624,0,0,11783813.8217773,18602.7611022657
399,Villarvolard,1651,1651,FR,10,2129,0,0,0,322,0,0,12641671.1499023,16830.4376141562
400,Botterens,1652,1652,FR,10,2123,0,0,0,589,0,0,9618189.72949219,14734.3596955031
401,Crésuz,1653,1653,FR,10,2130,0,0,0,691,0,0,8338062.04443359,13485.802049908
402,Cerniat FR,1654,1654,FR,10,2163,0,0,0,418,0,0,71363985.9311523,46759.984521466
403,Im Fang,1656,1656,FR,10,2138,0,0,0,661,0,0,91617053.8686523,47148.0154840642
404,Abländschen,1657,1657,BE,2,843,0,0,0,46,0,0,19294086.2509766,23444.711743094
405,La Tine,1658,1658,VD,22,5842,0,0,0,573,0,0,49227266.8803711,29896.3228174947
406,Flendruz,1659,1659,VD,22,5843,0,0,0,1014,0,0,120929538.349609,60770.4426152779
407,Château-d'Oex,1660,1660,VD,22,5841,1,112,0.00892857142857143,3541,3162.94832,28.24061,240555932.697266,85234.0002572821
408,Le Pâquier-Montbarry,1661,1661,FR,10,2145,0,0,0,1308,0,0,8927311.98095703,18448.6549385085
409,Pringy,1663,1663,FR,10,2135,2,73,0.0273972602739726,2240,3258.92857,89.28571,40082239.7255859,45329.3745671387
410,Estavannens,1665,1665,FR,10,2162,0,0,0,480,0,0,44898947.5683594,33305.8375756233
411,Grandvillard,1666,1666,FR,10,2134,0,0,0,1102,0,0,59227263.909668,43884.9140497692
412,Enney,1667,1667,FR,10,2162,0,0,0,735,0,0,15601273.7973633,16104.9881972646
413,Les Sciernes-d'Albeuve,1669,1669,FR,10,2121,2,74,0.027027027027027,1602,4619.22597,124.84395,126845804.830078,59456.5535258795
414,Ursy,1670,1670,FR,10,2102,1,55,0.0181818181818182,1835,2997.2752,54.49591,12059752.0966797,18236.3550122394
415,Gillarens,1673,1673,FR,10,2097,1,91,0.010989010989011,2139,4254.32445,46.75082,32231521.9799805,39574.7318697095
416,Vuarmarens,1674,1674,FR,10,2102,0,0,0,808,0,0,12536362.199707,21244.814444858
417,Vauderens,1675,1675,FR,10,2102,0,0,0,1076,0,0,17435062.8208008,23062.541014768
418,Chavannes-les-Forts,1676,1676,FR,10,2099,0,0,0,431,0,0,9405051.546875,17651.7892141398
419,Prez-vers-Siviriez,1677,1677,FR,10,2099,0,0,0,370,0,0,8829272.79541016,13419.5904955569
420,Siviriez,1678,1678,FR,10,2099,0,0,0,1093,0,0,17728976.0200195,23889.318912796
421,Villaraboud,1679,1679,FR,10,2099,0,0,0,388,0,0,6785620.99121094,14256.4685071671
422,Romont FR,1680,1680,FR,10,2096,2,154,0.012987012987013,5369,2868.31812,37.25088,30495959.559082,37153.2806551069
