OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
37,Ogens,1045,1045,VD,22,5680,0,0,0,318,0,0,7432329.51025391,13366.5905367674,3496043.93530273,9167.19806707489
38,Rueyres,1046,1046,VD,22,5534,0,0,0,255,0,0,4342478.56884766,10526.8691929092,2043517.5378418,7215.41487920471
39,Oppens,1047,1047,VD,22,5923,0,0,0,204,0,0,7645359.38842773,15261.2409576166,3595449.23925781,10462.9920787992
40,Le Mont-sur-Lausanne Dist,1052,1052,VD,22,5587,0,2,0,8277,24.16334,0,25399796.4040527,27330.6159468808,12012985.9614258,18791.5273802579
41,Bretigny-sur-Morrens,1053,1053,VD,22,5515,0,1,0,3764,26.56748,0,22818736.7929688,26856.1527166354,10781054.0302734,18455.8314323698
42,Morrens VD,1054,1054,VD,22,5527,0,0,0,1099,0,0,7632874.83544922,14574.0313224351,3605917.12133789,10012.3693374665
43,Froideville,1055,1055,VD,22,5523,0,0,0,2543,0,0,14898914.9240723,17910.0508525705,7036988.79663086,12307.3097827863
44,Villars-Tiercelin,1058,1058,VD,22,5804,0,0,0,489,0,0,10670797.5095215,17719.0910540737,5035972.19702148,12167.4753352353
45,Peney-le-Jorat,1059,1059,VD,22,5804,0,0,0,443,0,0,9495887.84399414,15432.3906587886,4479758.33764648,10595.0233004714
46,Villars-Mendraz,1061,1061,VD,22,5804,0,0,0,282,0,0,3269387.36328125,9456.68672196112,1541517.90209961,6492.23321441805
47,Sottens,1062,1062,VD,22,5804,0,0,0,345,0,0,9333405.36083984,15428.3037873074,4399319.21875,10595.942483401
48,Peyres-Possens,1063,1063,VD,22,5693,0,0,0,1128,0,0,23211904.8215332,28770.6342232601,10934198.4560547,19743.8024381569
49,Epalinges,1066,1066,VD,22,5584,0,0,0,9535,0,0,9682464.71459961,15758.1418165874,4581177.37841797,10838.8221827131
50,Les Monts-de-Pully,1068,1068,VD,22,5590,0,0,0,134,0,0,4629372.65917969,10712.5238745328,2191666.24291992,7371.03775807861
51,Puidoux,1070,1070,VD,22,5607,0,0,0,3064,0,0,67746582.0612793,58092.9702444769,32120207.5559082,39987.0437543041
52,Chexbres,1071,1071,VD,22,5601,0,0,0,2948,0,0,28369046.8413086,29950.2689643289,13466284.5449219,20623.2701081227
53,Forel (Lavaux),1072,1072,VD,22,5604,0,0,0,2203,0,0,38848823.9702148,33853.460626939,18389670.6687012,23291.8297826376
54,Savigny,1073,1073,VD,22,5611,0,0,0,3453,0,0,33822428.7180176,28668.2475699965,16003943.7451172,19717.4630807422
55,Ferlens VD,1076,1076,VD,22,5806,0,0,0,362,0,0,4621825.00146484,11465.7477512738,2183707.02197266,7879.99705892259
56,Servion,1077,1077,VD,22,5799,0,0,0,1213,0,0,8626591.86425781,14099.2549887703,4078134.55151367,9693.6774616389
57,Essertes,1078,1078,VD,22,5788,0,0,0,325,0,0,3538625.48291016,9614.2022800842,1673426.62695313,6611.44433912687
